2025-12-15 16:31:50.035 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-12-15 16:31:50.067 INFO  [main] com.flownote.Application - Starting Application using Java 21.0.8 with PID 60139 (/Users/xiaofeng/Documents/github/flow-note/target/classes started by xiaofeng in /Users/xiaofeng/Documents/github/flow-note)
2025-12-15 16:31:50.068 INFO  [main] com.flownote.Application - The following 1 profile is active: "dev"
2025-12-15 16:31:50.424 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-15 16:31:50.425 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-15 16:31:50.437 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2025-12-15 16:31:50.729 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-15 16:31:50.736 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-127.0.0.1-8080"]
2025-12-15 16:31:50.737 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-15 16:31:50.737 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.49]
2025-12-15 16:31:50.758 INFO  [main] o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-12-15 16:31:50.758 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 670 ms
2025-12-15 16:31:51.404 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-127.0.0.1-8080"]
2025-12-15 16:31:51.413 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2025-12-15 16:31:51.419 INFO  [main] com.flownote.Application - Started Application in 1.625 seconds (process running for 2.025)
2025-12-15 16:32:21.466 INFO  [http-nio-127.0.0.1-8080-exec-1] o.a.c.c.C.[.[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-15 16:32:21.467 INFO  [http-nio-127.0.0.1-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-15 16:32:21.469 INFO  [http-nio-127.0.0.1-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-12-15 16:32:21.493 INFO  [http-nio-127.0.0.1-8080-exec-1] c.flownote.controller.pingController - ping request: Mon Dec 15 16:32:21 CST 2025
2025-12-15 16:34:05.052 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-15 16:34:05.055 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-15 16:34:06.445 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-12-15 16:34:06.466 INFO  [main] com.flownote.Application - Starting Application using Java 21.0.8 with PID 65823 (/Users/xiaofeng/Documents/github/flow-note/target/classes started by xiaofeng in /Users/xiaofeng/Documents/github/flow-note)
2025-12-15 16:34:06.467 INFO  [main] com.flownote.Application - The following 1 profile is active: "dev"
2025-12-15 16:34:06.806 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-15 16:34:06.808 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-15 16:34:06.821 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2025-12-15 16:34:07.103 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-15 16:34:07.111 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-127.0.0.1-8080"]
2025-12-15 16:34:07.111 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-15 16:34:07.111 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.49]
2025-12-15 16:34:07.132 INFO  [main] o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-12-15 16:34:07.133 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 647 ms
2025-12-15 16:34:07.704 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-127.0.0.1-8080"]
2025-12-15 16:34:07.714 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2025-12-15 16:34:07.720 INFO  [main] com.flownote.Application - Started Application in 1.535 seconds (process running for 1.845)
2025-12-15 16:51:30.782 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-15 16:51:30.789 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-15 16:51:32.395 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
